date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold,year,filter_trigger_date,consecutive_lower_circuit_days
2021-08-23,2021-08-24,NIFTY500,RALLIS,276,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,EIHOTEL,277,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,HARRMALAYA,281,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,AMBER,282,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ITDC,283,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,MRPL,284,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,VENKEYS,285,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,INTELLECT,286,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,GMMPFAUDLR,287,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,5,5,2021,2021-08-23,5
2021-08-23,2021-08-24,NIFTY500,JAGRAN,288,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,SHRIRAMFIN,289,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,APOLLOTYRE,291,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,PGHL,292,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,CANFINHOME,295,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
